Pong
Grand Theft Auto: San Andreas
Half-Life 2
Katamari Damacy
Metal Gear Solid 3: Snake Eater
World of Warcraft
Call of Duty 2
Civilization IV
Devil May Cry 3: Dante's Awakening
God of War
Guitar Hero
Psychonauts
Resident Evil 4
Shadow of the Colossus
Tom Clancy's Splinter Cell: Chaos Theory
The Elder Scrolls IV: Oblivion
Gears of War
Guitar Hero II
Ōkami
Wii Sports
BioShock
Call of Duty 4: Modern Warfare
God of War II
Halo 3
Portal
Super Mario Galaxy
Team Fortress 2
Braid
Dead Space
Fallout 3
Grand Theft Auto IV
Left 4 Dead
LittleBigPlanet
Metal Gear Solid 4: Guns of the Patriots
Shin Megami Tensei: Persona 4
Spelunky
Street Fighter IV
Assassin's Creed II
Batman: Arkham Asylum
Uncharted 2: Among Thieves
Limbo
Mass Effect 2
Red Dead Redemption
Rock Band 3
Super Mario Galaxy 2
Super Meat Boy
Batman: Arkham City
Dark Souls
The Elder Scrolls V: Skyrim
Minecraft
Portal 2
Fire Emblem: Awakening
Hotline Miami
Journey
Mass Effect 3
The Walking Dead
Dota 2
Grand Theft Auto V
The Last of Us
TowerFall
Bloodborne
The Witcher 3: Wild Hunt
Publisher
Atari
Infocom
Taito
Atari
Atari
Namco
Williams Entertainment
Nintendo
Namco
Williams Entertainment
Midway
Activision
Nintendo
Atari
Acornsoft
Various
Atari
Nintendo
Nintendo
Sega
Konami
Technos Japan
Tecmo
Capcom
Tecmo
Nintendo
Broderbund
Maxis
LucasArts
Nintendo
Nintendo
Psygnosis
LucasArts
Sega
Capcom
Konami
Midway
Sega
Nintendo
Apogee Software
LucasArts
Sega
id Software
Sega
Nintendo
Capcom
Midway
Broderbund
Midway
Sega
LucasArts
Square
Maxis
Nintendo
Nintendo
Square
LucasArts
Nintendo
MicroProse
Square
Virgin Interactive
Blizzard Entertainment
Psygnosis
Nintendo
MicroProse
Virgin Interactive
Sega
Nintendo
GT Interactive
Capcom
Nintendo
Nintendo
Eidos Interactive
Konami
Interplay Productions
Square
Square
Nintendo
Sony Computer Entertainment
Activision
Nintendo
LucasArts
Namco
Electronic Arts
LucasArts
Sierra Studios
Nintendo
Konami
Sega
Capcom
Namco
Blizzard Entertainment
Eidos Interactive
Microsoft Game Studios
Sony Online Entertainment
Sierra Studios
Interplay Entertainment
Sega
Konami
Nintendo
Electronic Arts
GT Interactive
Black Isle Studios
Valve Corporation
Eidos Interactive
Blizzard Entertainment
Sega
Nintendo
Electronic Arts
Eidos Interactive
Activision
Nintendo
Square
Sony Computer Entertainment
Rockstar Games
Microsoft Game Studios
Sony Computer Entertainment
Sega
Gathering of Developers
Konami
Capcom
Sega
Konami
Nintendo
Rockstar Games
Nintendo
Nintendo
Ubisoft
LucasArts
Electronic Arts
Rockstar Games
Valve Corporation
Namco
Konami
Blizzard Entertainment
Activision
2K Games
Capcom
Sony Computer Entertainment
RedOctane
Majesco
Capcom
Sony Computer Entertainment
Ubisoft
Bethesda Softworks
Microsoft Game Studios
Activision
Capcom
Nintendo
2K Games
Activision
Sony Computer Entertainment
Microsoft Game Studios
Valve Corporation
Nintendo
Valve Corporation
Microsoft Game Studios
Electronic Arts
Bethesda Softworks
Rockstar Games
Valve Corporation
Sony Computer Entertainment
Konami
Atlus
Derek Yu
Capcom
Ubisoft
Warner Bros. Interactive Entertainment
Sony Computer Entertainment
Microsoft Game Studios
Electronic Arts
Rockstar Games
MTV Games
Nintendo
Team Meat
Warner Bros. Interactive Entertainment
Namco Bandai Games
Bethesda Softworks
Mojang
Valve Corporation
Nintendo
Devolver Digital
Sony Computer Entertainment
Electronic Arts
Telltale Games
Valve Corporation
Rockstar Games
Sony Computer Entertainment
Matt Makes Games
Sony Computer Entertainment
